1,775
1,763
822
8,628
2,868
97,856
6,056
2,605
509
1,078
4,174
1,816
466
1,720
407
145
9,523
18,620
1,042
869
2,127
686
2,071
4,452
306
844
654
1,668
1,891
2,547
27,687
724
946
3,394
12,166
1,355
7,378
5,409
533
284
15,465
5,786
999
6,669
15,541
1,193
792
2,084
969
364
1,176
47,376
1,348
2,553
1,361
420
1,047
2,072
2,390
7,867
470
3,103
1,327
8,366
1,486
6,323
3,465
1,119
474
2,230
261,310
340
211
2,201
1,870
2,231
1,213
2,229
10,545
550
4,804
851
2,270
6,314
726
3,747
634
1,015
1,473
351
532
4,081
1,002
549
3,729
2,835
6,592
1,112
1,848
410
1,101
833
1,770
624
461
520
3,969
7,916
5,081
1,961
1,978
350
750
2,127
1,942
2,093
4,678
838
16,168
329
2,013
7,793
242
1,852
801
709
2,559
11,183
3,018
19,204
286
2,813
618
8,070
1,575
3,936
4,719
294
377
1,089
3,087
15,303
1,663
11
558
1,052
10,875
2,206
308
1,890
1,725
12,563
872
6,236
1,083
6,955
587
620
6,587
9,818
3,084
2,556
439
676
1,058
4,135
376
244
29,200
4,097
4,664
13,392
345
621
352
745
5,353
2,420
8,189
382
4,373
2,171
351
15,863
2,833
4,665
795
697
484
3,375
490
2,322
2,598
374
1,740
11,230
42,860
520
11,896
784
229
200
22,371
8,031
13,261
399
26,964
502
14,700
15,665
5,454
3,949
2,709
285
2,543
9,989
2,761
6,707
1,580
2,620
2,197
1,777
3,154
2,363
1,292
9,409
4,239
280
661
1,031
555
2,424
27,472
628
7,849
11,910
1,472
53,891
7,743
422
90
714
404
1,263
445
3,900
951
5,886
441
458
1,811
3,291
2,674
3,501
8,563
6,461
6,713
7,281
502
1,425
8,053
602
6,420
3,335
4,655
30,014
31,146
359
15,174
8,743
1,368
4,724
1,815
15,423
1,161
1,211
5,005
23,893
20,175
18,141
582
906
11,163
2,521
2,934
3,002
10,352
3,529
5,864
1,739
1,952
263
6,483
468
4,391
2,701
4,392
2,139
27,253
320
4,946
1,143
2,347
1,409
3,660
21,165
291
33,275
3,470
19,427
838
3,619
566
1,523
1,053
305
5,911
8,514
18,929
1,709
4,704
354
6,556
919
1,813
596
17,008
10,936
810
2,958
832
1,711
5,196
6,065
3,990
309
1,624
1,500
1,840
28,086
512
415
1,452
958
997
312
18,799
3,449
2,731
8,364
4,526
3,814
6,726
1,711
1,282
583
395
2,199
10,877
2,986
67,292
474
2,693
3,497
1,041
1,133
596
628
9,145
997
1,028
28,866
1,847
5,132
9,712
6,818
640
77,062
6,944
8,175,133
3,327
50,193
512
1,749
1,232
833
5,075
778
7,401
6,800
31,568
1,099
7,190
1,657
1,377
6,765
1,813
79
591
11,128
2,134
918
4,671
14,452
11,393
625
13,901
3,246
1,400
732
25,060
18,142
1,010
1,068
602
3,896
1,450
2,197
1,809
737
3,536
479
450
11,798
2,347
23,583
6,910
5,486
5,159
3,673
401
1,989
1,252
1,379
2,382
2,510
1,355
1,349
1,005
872
19,989
7,019
508
3,103
953
1,290
28,967
1,641
1,194
7,750
8,828
672
1,014
3,154
9,428
32,736
291
2,365
967
1,286
3,268
532
1,961
508
9,392
332
2,657
450
1,264
918
323
497
210,565
24,023
33,725
2,770
1,251
1,051
623
2,209
677
945
15,720
9,347
1,450
830
313
2,169
1,732
5,815
946
37
2,675
771
5,406
26,586
3,971
827
17,166
592
66,135
922
1,386
7,729
2,001
4,995
6,681
558
1,367
730
3,071
531
1,439
3,900
2,656
782
588
2,450
9,870
3,661
3,039
213
1,819
900
6,584
3,109
3,234
1,145
620
1,764
3,518
3,510
324
759
3,601
31,347
4,296
1,119
1,896
1,738
10,723
897
145,170
539
11,277
863
2,617
1,118
15,130
50,129
1,797
6,486
873
3,667
232
623
1,128
1,197
612
1,698
2,063
62,235
1,819
466
37,511
537
1,172
2,696
605
1,807
2,789
972
6,978
3,088
543
5,522
3,473
6,731
5,899
1,990
5,171
27,023
1,583
10,254
1,859
4,444
1,865
5,399
1,815
580
4,679
5,628
15,146
2,012
3,224
1,721
55
10,165
826
2,614
56,853
3,772
964
5,300
7,287
1,264
916
1,701
10,686
847
778
1,246
434
195,976
2,689
1,935
